,x,y
1265,diplomancy,diplomacy
1266,dipthong,diphthong
1267,dipthongs,diphthongs
1268,directoty,directory
1269,dirived,derived
1270,disagreeed,disagreed
1271,disapeared,disappeared
1272,disapointing,disappointing
1273,disappearred,disappeared
1274,disaproval,disapproval
1275,disasterous,disastrous
1276,disatisfaction,dissatisfaction
1277,disatisfied,dissatisfied
1278,disatrous,disastrous
1279,discontentment,discontent
1280,discribe,describe
1281,discribed,described
1282,discribes,describes
1283,discribing,describing
1284,disctinction,distinction
1285,disctinctive,distinctive
1286,disemination,dissemination
1287,disenchanged,disenchanted
1288,disiplined,disciplined
1289,disobediance,disobedience
1290,disobediant,disobedient
1291,disolved,dissolved
1292,disover,discover
1293,dispair,despair
1294,disparingly,disparagingly
1295,dispence,dispense
1296,dispenced,dispensed
1297,dispencing,dispensing
1298,dispicable,despicable
1299,dispite,despite
1300,dispostion,disposition
1301,disproportiate,disproportionate
1302,disputandem,disputandum
1303,disricts,districts
1304,dissagreement,disagreement
1305,dissapear,disappear
1306,dissapearance,disappearance
1307,dissapeared,disappeared
1308,dissapearing,disappearing
1309,dissapears,disappears
1310,dissappear,disappear
1311,dissappears,disappears
1312,dissappointed,disappointed
1313,dissarray,disarray
1314,dissobediance,disobedience
1315,dissobediant,disobedient
1316,dissobedience,disobedience
1317,dissobedient,disobedient
1318,distiction,distinction
1319,distingish,distinguish
1320,distingished,distinguished
1321,distingishes,distinguishes
1322,distingishing,distinguishing
1323,distingquished,distinguished
1324,distrubution,distribution
1325,distruction,destruction
1326,distructive,destructive
1327,ditributed,distributed
1328,diversed,"diverse, diverged"
1329,divice,device
1330,divinition,divination
1331,divison,division
1332,divisons,divisions
1333,dum,dumb
1334,doccument,document
1335,doccumented,documented
1336,doccuments,documents
1337,docrines,doctrines
1338,doctines,doctrines
1339,documenatry,documentary
1340,doens,does
1341,doesnt,doesn't
1342,doign,doing
1343,dominaton,domination
1344,dominent,dominant
1345,dominiant,dominant
1346,donig,doing
1347,dosen't,doesn't
1348,doub,"doubt, daub"
1349,doulbe,double
1350,dowloads,downloads
1351,dramtic,dramatic
1352,draughtman,draughtsman
1353,Dravadian,Dravidian
1354,dreasm,dreams
1355,driectly,directly
1356,drnik,drink
1357,druming,drumming
1358,drummless,drumless
1359,dupicate,duplicate
1360,durig,during
1361,durring,during
1362,duting,during
1363,dyas,dryas
1364,eahc,each
1365,ealier,earlier
1366,earlies,earliest
1367,earnt,earned
1368,ecclectic,eclectic
1369,eceonomy,economy
1370,ecidious,deciduous
1371,eclispe,eclipse
1372,ecomonic,economic
1373,ect,etc
1374,eearly,early
1375,efel,evil
1376,effeciency,efficiency
1377,effecient,efficient
1378,effeciently,efficiently
1379,efficency,efficiency
1380,efficent,efficient
1381,efficently,efficiently
1382,efford,"effort, afford"
1383,effords,"efforts, affords"
1384,effulence,effluence
1385,eigth,"eighth, eight"
1386,eiter,either
1387,elction,election
1388,electic,"eclectic, electric"
1389,electon,"election, electron"
1390,electrial,electrical
1391,electricly,electrically
1392,electricty,electricity
1393,elementay,elementary
1394,eleminated,eliminated
1395,eleminating,eliminating
1396,eles,eels
1397,eletricity,electricity
1398,elicided,elicited
1399,eligable,eligible
1400,elimentary,elementary
1401,ellected,elected
1402,elphant,elephant
1403,embarass,embarrass
1404,embarassed,embarrassed
1405,embarassing,embarrassing
1406,embarassment,embarrassment
1407,embargos,embargoes
1408,embarras,embarrass
1409,embarrased,embarrassed
1410,embarrasing,embarrassing
1411,embarrasment,embarrassment
1412,embezelled,embezzled
1413,emblamatic,emblematic
1414,eminate,emanate
1415,eminated,emanated
1416,emision,emission
1417,emited,emitted
1418,emiting,emitting
1419,emition,"emission, emotion"
1420,emmediately,immediately
1421,emmigrated,"emigrated, immigrated"
1422,emminent,"eminent, imminent"
1423,emminently,eminently
1424,emmisaries,emissaries
1425,emmisarries,emissaries
1426,emmisarry,emissary
1427,emmisary,emissary
1428,emmision,emission
1429,emmisions,emissions
1430,emmited,emitted
1431,emmiting,emitting
1432,emmitted,emitted
1433,emmitting,emitting
1434,emnity,enmity
1435,emperical,empirical
1436,emphaised,emphasised
1437,emphsis,emphasis
1438,emphysyma,emphysema
1439,empirial,"empirical, imperial"
1440,emporer,emperor
1441,emprisoned,imprisoned
1442,enameld,enameled
1443,enchancement,enhancement
1444,encouraing,encouraging
1445,encryptiion,encryption
1446,encylopedia,encyclopedia
1447,endevors,endeavors
1448,endevour,endeavour
1449,endig,ending
1450,endolithes,endoliths
1451,enduce,induce
1452,ened,need
1453,enforceing,enforcing
1454,engagment,engagement
1455,engeneer,engineer
1456,engeneering,engineering
1457,engieneer,engineer
1458,engieneers,engineers
1459,enlargment,enlargement
1460,enlargments,enlargements
1461,Enlish,"English, enlist"
1462,enourmous,enormous
1463,enourmously,enormously
1464,ensconsed,ensconced
1465,entaglements,entanglements
1466,enteratinment,entertainment
1467,enthusiatic,enthusiastic
1468,entitity,entity
1469,entitlied,entitled
1470,entrepeneur,entrepreneur
1471,entrepeneurs,entrepreneurs
1472,enviorment,environment
1473,enviormental,environmental
1474,enviormentally,environmentally
1475,enviorments,environments
1476,enviornment,environment
1477,enviornmental,environmental
1478,enviornmentalist,environmentalist
1479,enviornmentally,environmentally
1480,enviornments,environments
1481,enviroment,environment
1482,enviromental,environmental
1483,enviromentalist,environmentalist
1484,enviromentally,environmentally
1485,enviroments,environments
1486,envolutionary,evolutionary
1487,envrionments,environments
1488,enxt,next
1489,epidsodes,episodes
1490,epsiode,episode
1491,equialent,equivalent
1492,equalibrium,equilibrium
1493,equelibrium,equilibrium
1494,equilibium,equilibrium
1495,equilibrum,equilibrium
1496,equiped,equipped
1497,equippment,equipment
1498,equitorial,equatorial
1499,equivelant,equivalent
1500,equivelent,equivalent
1501,equivilant,equivalent
1502,equivilent,equivalent
1503,equivlalent,equivalent
1504,erally,"orally, really"
1505,eratic,erratic
1506,eratically,erratically
1507,eraticly,erratically
1508,erested,"arrested, erected"
1509,errupted,erupted
1510,esential,essential
1511,esitmated,estimated
1512,esle,else
1513,especialy,especially
1514,essencial,essential
1515,essense,essence
1516,essentail,essential
1517,essentialy,essentially
1518,essentual,essential
1519,essesital,essential
1520,estabishes,establishes
1521,establising,establishing
1522,ethnocentricm,ethnocentrism
1523,ethose,"those, ethos"
1524,Europian,European
1525,Europians,Europeans
1526,Eurpean,European
1527,Eurpoean,European
1528,evenhtually,eventually
1529,eventally,eventually
1530,eventhough,even though
1531,eventially,eventually
1532,eventualy,eventually
1533,everthing,everything
1534,everytime,every time
1535,everyting,everything
1536,eveyr,every
1537,evidentally,evidently
1538,exagerate,exaggerate
1539,exagerated,exaggerated
1540,exagerates,exaggerates
1541,exagerating,exaggerating
1542,exagerrate,exaggerate
1543,exagerrated,exaggerated
1544,exagerrates,exaggerates
1545,exagerrating,exaggerating
1546,examinated,examined
1547,exampt,exempt
1548,exapansion,expansion
1549,excact,exact
1550,excange,exchange
1551,excecute,execute
1552,excecuted,executed
1553,excecutes,executes
1554,excecuting,executing
1555,excecution,execution
1556,excedded,exceeded
1557,excelent,excellent
1558,excell,excel
1559,excellance,excellence
1560,excellant,excellent
1561,excells,excels
1562,excercise,exercise
1563,exchanching,exchanging
1564,excisted,existed
1565,exculsivly,exclusively
1566,execising,exercising
1567,exection,execution
1568,exectued,executed
1569,exeedingly,exceedingly
1570,exelent,excellent
1571,exellent,excellent
1572,exemple,example
1573,exept,except
1574,exeptional,exceptional
1575,exerbate,exacerbate
1576,exerbated,exacerbated
1577,exerciese,exercises
1578,exerpt,excerpt
1579,exerpts,excerpts
1580,exersize,exercise
1581,exerternal,external
1582,exhalted,exalted
1583,exhibtion,exhibition
1584,exibition,exhibition
1585,exibitions,exhibitions
1586,exicting,exciting
1587,exinct,extinct
1588,existance,existence
1589,existant,existent
1590,existince,existence
1591,exliled,exiled
1592,exludes,excludes
1593,exmaple,example
1594,exonorate,exonerate
1595,exoskelaton,exoskeleton
1596,expalin,explain
1597,expatriot,expatriate
1598,expeced,expected
1599,expecially,especially
1600,expeditonary,expeditionary
1601,expeiments,experiments
1602,expell,expel
1603,expells,expels
1604,experiance,experience
1605,experianced,experienced
1606,expiditions,expeditions
1607,expierence,experience
1608,explaination,explanation
1609,explaning,explaining
1610,explictly,explicitly
1611,exploititive,exploitative
1612,explotation,exploitation
1613,expropiated,expropriated
1614,expropiation,expropriation
1615,exressed,expressed
1616,extemely,extremely
1617,extention,extension
1618,extentions,extensions
1619,extered,exerted
1620,extermist,extremist
1621,extint,"extinct, extant"
1622,extradiction,extradition
1623,extraterrestial,extraterrestrial
1624,extraterrestials,extraterrestrials
1625,extravagent,extravagant
1626,extrememly,extremely
1627,extremeophile,extremophile
1628,extremly,extremely
1629,extrordinarily,extraordinarily
1630,extrordinary,extraordinary
1631,eyar,"year, eyas"
1632,eyars,"years, eyas"
1633,eyasr,"years, eyas"
1634,faciliate,facilitate
1635,faciliated,facilitated
1636,faciliates,facilitates
1637,facilites,facilities
1638,facillitate,facilitate
1639,facinated,fascinated
1640,facist,fascist
1641,familes,families
1642,familliar,familiar
1643,famoust,famous
1644,fanatism,fanaticism
1645,Farenheit,Fahrenheit
1646,fatc,fact
1647,faught,fought
1648,favoutrable,favourable
1649,feasable,feasible
1650,Febuary,February
1651,Feburary,February
1652,fedreally,federally
1653,femminist,feminist
1654,feromone,pheromone
1655,fertily,fertility
1656,fianite,finite
1657,fianlly,finally
1658,ficticious,fictitious
1659,fictious,fictitious
1660,fidn,find
1661,fiel,"feel, field, file, phial"
1662,fiels,"feels, fields, files, phials"
1663,fiercly,fiercely
1664,fightings,fighting
1665,filiament,filament
1666,fimilies,families
1667,finacial,financial
1668,finaly,finally
1669,financialy,financially
1670,firends,friends
1671,firts,"flirts, first"
1672,fisionable,fissionable
1673,flamable,flammable
1674,flawess,flawless
1675,fleed,"fled, freed"
1676,Flemmish,Flemish
1677,florescent,fluorescent
1678,flourescent,fluorescent
1679,flourine,fluorine
1680,fluorish,flourish
1681,flourishment,flourishing
1682,follwoing,following
1683,folowing,following
1684,fomed,formed
1685,fomr,"from, form"
1686,fonetic,phonetic
1687,fontrier,fontier
1688,foootball,football
1689,forbad,forbade
1690,forbiden,forbidden
1691,foreward,foreword
1692,forfiet,forfeit
1693,forhead,forehead
1694,foriegn,foreign
1695,Formalhaut,Fomalhaut
1696,formallize,formalize
1697,formallized,formalized
1698,formaly,"formally, formerly"
1699,formelly,formerly
1700,formidible,formidable
1701,formost,foremost
1702,forsaw,foresaw
1703,forseeable,foreseeable
1704,fortelling,foretelling
1705,forunner,forerunner
1706,foucs,focus
1707,foudn,found
1708,fougth,fought
1709,foundaries,foundries
1710,foundary,foundry
1711,Foundland,Newfoundland
1712,fourties,forties
1713,fourty,forty
1714,fouth,fourth
1715,foward,forward
1716,Fransiscan,Franciscan
1717,Fransiscans,Franciscans
1718,freind,friend
1719,freindly,friendly
1720,frequentily,frequently
1721,frome,from
1722,fromed,formed
1723,froniter,frontier
1724,fucntion,function
1725,fucntioning,functioning
1726,fufill,fulfill
1727,fufilled,fulfilled
1728,fulfiled,fulfilled
1729,fullfill,fulfill
1730,fullfilled,fulfilled
1731,fundametal,fundamental
1732,fundametals,fundamentals
1733,funguses,fungi
1734,funtion,function
1735,furuther,further
1736,futher,further
1737,futhermore,furthermore
1738,futhroc,"futhark, futhorc"
1739,gae,"game, Gael, gale"
1740,galatic,galactic
1741,Galations,Galatians
1742,gallaxies,galaxies
1743,galvinized,galvanized
1744,Gameboy,Game Boy
1745,ganerate,generate
1746,ganes,games
1747,ganster,gangster
1748,garantee,guarantee
1749,garanteed,guaranteed
1750,garantees,guarantees
1751,gardai,gardaí
1752,garnison,garrison
1753,gauarana,guaraná
1754,gaurantee,guarantee
1755,gauranteed,guaranteed
1756,gaurantees,guarantees
1757,gaurd,"guard, gourd"
1758,gaurentee,guarantee
1759,gaurenteed,guaranteed
1760,gaurentees,guarantees
1761,geneological,genealogical
1762,geneologies,genealogies
1763,geneology,genealogy
1764,generaly,generally
1765,generatting,generating
1766,genialia,genitalia
1767,geographicial,geographical
1768,geometrician,geometer
1769,geometricians,geometers
1770,gerat,great
1771,Ghandi,Gandhi
1772,glamourous,glamorous
1773,glight,flight
1774,gnawwed,gnawed
1775,godess,goddess
1776,godesses,goddesses
1777,Godounov,Godunov
1778,gogin,"going, Gauguin"
1779,goign,going
1780,gonig,going
1781,Gothenberg,Gothenburg
1782,Gottleib,Gottlieb
1783,gouvener,governor
1784,govement,government
1785,govenment,government
1786,govenrment,government
1787,goverance,governance
1788,goverment,government
1789,govermental,governmental
1790,governer,governor
1791,governmnet,government
1792,govorment,government
1793,govormental,governmental
1794,govornment,government
1795,gracefull,graceful
1796,graet,great
1797,grafitti,graffiti
1798,gramatically,grammatically
1799,grammaticaly,grammatically
1800,grammer,grammar
1801,grat,great
1802,gratuitious,gratuitous
1803,greatful,grateful
1804,greatfully,gratefully
1805,greif,grief
1806,gridles,griddles
1807,gropu,group
1808,grwo,grow
1809,Guaduloupe,"Guadalupe, Guadeloupe"
1810,Guadulupe,"Guadalupe, Guadeloupe"
1811,guage,gauge
1812,guarentee,guarantee
1813,guarenteed,guaranteed
1814,guarentees,guarantees
1815,Guatamala,Guatemala
1816,Guatamalan,Guatemalan
1817,guerrila,guerrilla
1818,guerrilas,guerrillas
1819,guidence,guidance
1820,Guilia,Giulia
1821,Guilio,Giulio
1822,Guiness,Guinness
1823,Guiseppe,Giuseppe
1824,gunanine,guanine
1825,gurantee,guarantee
1826,guranteed,guaranteed
1827,gurantees,guarantees
1828,guttaral,guttural
1829,gutteral,guttural
1830,habaeus,habeas
1831,habeus,habeas
1832,Habsbourg,Habsburg
1833,haemorrage,haemorrhage
1834,haev,"have, heave"
1835,halarious,hilarious
1836,Hallowean,"Hallowe'en, Halloween"
1837,halp,help
1838,hapen,happen
1839,hapened,happened
1840,hapening,happening
1841,happend,happened
1842,happended,happened
1843,happenned,happened
1844,harased,harassed
1845,harases,harasses
1846,harasment,harassment
1847,harasments,harassments
1848,harassement,harassment
1849,harras,harass
1850,harrased,harassed
1851,harrases,harasses
1852,harrasing,harassing
1853,harrasment,harassment
1854,harrasments,harassments
1855,harrassed,harassed
1856,harrasses,harassed
1857,harrassing,harassing
1858,harrassment,harassment
1859,harrassments,harassments
1860,hasnt,hasn't
1861,Hatian,Haitian
1862,haviest,heaviest
1863,headquarer,headquarter
1864,headquater,headquarter
1865,headquatered,headquartered
1866,headquaters,headquarters
1867,healthercare,healthcare
1868,heared,heard
1869,heathy,healthy
1870,Heidelburg,Heidelberg
1871,heigher,higher
1872,heirarchy,hierarchy
1873,heiroglyphics,hieroglyphics
1874,helment,helmet
1875,helpfull,helpful
1876,helpped,helped
1877,hemmorhage,hemorrhage
1878,herad,"heard, Hera"
1879,heridity,heredity
1880,heroe,hero
1881,heros,heroes
1882,hertiage,heritage
1883,hertzs,hertz
1884,hesistant,hesitant
1885,heterogenous,heterogeneous
1886,hieght,height
1887,hierachical,hierarchical
1888,hierachies,hierarchies
1889,hierachy,hierarchy
1890,hierarcical,hierarchical
1891,hierarcy,hierarchy
1892,hieroglph,hieroglyph
1893,hieroglphs,hieroglyphs
1894,higer,higher
1895,higest,highest
1896,higway,highway
1897,hillarious,hilarious
1898,himselv,himself
1899,hinderance,hindrance
1900,hinderence,hindrance
1901,hindrence,hindrance
1902,hipopotamus,hippopotamus
1903,hismelf,himself
1904,histocompatability,histocompatibility
1905,historicians,historians
1906,hitsingles,hit singles
1907,holf,hold
1908,holliday,holiday
1909,homestate,home state
1910,homogeneize,homogenize
1911,homogeneized,homogenized
1912,honory,honorary
1913,horrifing,horrifying
1914,hosited,hoisted
1915,hospitible,hospitable
1916,hounour,honour
1917,housr,"hours, house"
1918,howver,however
1919,hsitorians,historians
1920,hstory,history
1921,hten,"then, hen, the"
1922,htere,"there, here"
1923,htey,they
1924,htikn,think
1925,hting,thing
1926,htink,think
1927,htis,this
1928,humer,"humor, humour"
1929,humerous,"humorous, humerus"
1930,huminoid,humanoid
1931,humoural,humoral
1932,humurous,humorous
1933,husban,husband
1934,hvae,have
1935,hvaing,having
1936,hvea,"have, heave"
1937,hwihc,which
1938,hwile,while
1939,hwole,whole
1940,hydogen,hydrogen
1941,hydropile,hydrophile
1942,hydropilic,hydrophilic
1943,hydropobe,hydrophobe
1944,hydropobic,hydrophobic
1945,hygeine,hygiene
1946,hyjack,hijack
1947,hyjacking,hijacking
1948,hypocracy,hypocrisy
1949,hypocrasy,hypocrisy
1950,hypocricy,hypocrisy
1951,hypocrit,hypocrite
1952,hypocrits,hypocrites
1953,iconclastic,iconoclastic
1954,idaeidae,idea
1955,idaes,ideas
1956,idealogies,ideologies
1957,idealogy,ideology
1958,identicial,identical
1959,identifers,identifiers
1960,ideosyncratic,idiosyncratic
1961,idesa,"ideas, ides"
1962,idiosyncracy,idiosyncrasy
1963,Ihaca,Ithaca
1964,illegimacy,illegitimacy
1965,illegitmate,illegitimate
1966,illess,illness
1967,illiegal,illegal
1968,illution,illusion
1969,ilness,illness
1970,ilogical,illogical
1971,imagenary,imaginary
1972,imagin,imagine
1973,imaginery,"imaginary, imagery"
1974,imanent,"eminent, imminent"
1975,imcomplete,incomplete
1976,imediately,immediately
1977,imense,immense
1978,imigrant,"emigrant, immigrant"
1979,imigrated,"emigrated, immigrated"
1980,imigration,"emigration, immigration"
1981,iminent,"eminent, imminent, immanent"
1982,immediatley,immediately
1983,immediatly,immediately
1984,immidately,immediately
1985,immidiately,immediately
1986,immitate,imitate
1987,immitated,imitated
1988,immitating,imitating
1989,immitator,imitator
1990,immunosupressant,immunosuppressant
1991,impecabbly,impeccably
1992,impedence,impedance
1993,implamenting,implementing
1994,impliment,implement
1995,implimented,implemented
1996,imploys,employs
1997,importamt,important
1998,impressario,impresario
1999,imprioned,imprisoned
2000,imprisonned,imprisoned
2001,improvision,improvisation
2002,improvments,improvements
2003,inablility,inability
2004,inaccessable,inaccessible
2005,inadiquate,inadequate
2006,inadquate,inadequate
2007,inadvertant,inadvertent
2008,inadvertantly,inadvertently
2009,inagurated,inaugurated
2010,inaguration,inauguration
2011,inappropiate,inappropriate
2012,inaugures,inaugurates
2013,inbalance,imbalance
2014,inbalanced,imbalanced
2015,inbetween,between
2016,incarcirated,incarcerated
2017,incidentially,incidentally
2018,incidently,incidentally
2019,inclreased,increased
2020,includ,include
2021,includng,including
2022,incompatabilities,incompatibilities
2023,incompatability,incompatibility
2024,incompatable,incompatible
2025,incompatablities,incompatibilities
2026,incompatablity,incompatibility
2027,incompatiblities,incompatibilities
2028,incompatiblity,incompatibility
2029,incompetance,incompetence
2030,incompetant,incompetent
2031,incomptable,incompatible
2032,incomptetent,incompetent
2033,inconsistant,inconsistent
2034,incoroporated,incorporated
2035,incorperation,incorporation
2036,incorportaed,incorporated
2037,incorprates,incorporates
2038,incorruptable,incorruptible
2039,incramentally,incrementally
2040,increadible,incredible
2041,incredable,incredible
2042,inctroduce,introduce
2043,inctroduced,introduced
2044,incuding,including
2045,incunabla,incunabula
2046,indefinately,indefinitely
2047,indefineable,undefinable
2048,indefinitly,indefinitely
2049,indentical,identical
2050,indepedantly,independently
2051,indepedence,independence
2052,independance,independence
2053,independant,independent
2054,independantly,independently
2055,independece,independence
2056,independendet,independent
2057,indespensable,indispensable
2058,indespensible,indispensable
2059,indictement,indictment
2060,indigineous,indigenous
2061,indipendence,independence
2062,indipendent,independent
2063,indipendently,independently
2064,indispensible,indispensable
2065,indisputible,indisputable
2066,indisputibly,indisputably
2067,indite,indict
2068,individualy,individually
2069,indpendent,independent
2070,indpendently,independently
2071,indulgue,indulge
2072,indutrial,industrial
2073,indviduals,individuals
2074,inefficienty,inefficiently
2075,inevatible,inevitable
2076,inevitible,inevitable
2077,inevititably,inevitably
2078,infalability,infallibility
2079,infallable,infallible
2080,infectuous,infectious
2081,infered,inferred
2082,infilitrate,infiltrate
2083,infilitrated,infiltrated
2084,infilitration,infiltration
2085,infinit,infinite
2086,inflamation,inflammation
2087,influencial,influential
2088,influented,influenced
2089,infomation,information
2090,informtion,information
2091,infrantryman,infantryman
2092,infrigement,infringement
2093,ingenius,ingenious
2094,ingreediants,ingredients
2095,inhabitans,inhabitants
2096,inherantly,inherently
2097,inheritage,"heritage, inheritance"
2098,inheritence,inheritance
2099,inital,initial
2100,initally,initially
2101,initation,initiation
2102,initiaitive,initiative
2103,inlcuding,including
2104,inmigrant,immigrant
2105,inmigrants,immigrants
2106,innoculated,inoculated
2107,inocence,innocence
2108,inofficial,unofficial
2109,inot,into
2110,inpeach,impeach
2111,inpending,impending
2112,inpenetrable,impenetrable
2113,inpolite,impolite
2114,inprisonment,imprisonment
2115,inproving,improving
2116,insectiverous,insectivorous
2117,insensative,insensitive
2118,inseperable,inseparable
2119,insistance,insistence
2120,insitution,institution
2121,insitutions,institutions
2122,inspite,"in spite, inspire"
2123,instade,instead
2124,instatance,instance
2125,institue,institute
2126,instuction,instruction
2127,instuments,instruments
2128,instutionalized,institutionalized
2129,instutions,intuitions
2130,insurence,insurance
2131,intelectual,intellectual
2132,inteligence,intelligence
2133,inteligent,intelligent
2134,intenational,international
2135,intented,"intended, indented"
2136,intepretation,interpretation
2137,intepretator,interpretor
2138,interational,international
2139,interbread,"interbreed, interbred"
2140,interchangable,interchangeable
2141,interchangably,interchangeably
2142,intercontinential,intercontinental
2143,intercontinetal,intercontinental
2144,intered,"interred, interned"
2145,interelated,interrelated
2146,interferance,interference
2147,interfereing,interfering
2148,intergrated,integrated
2149,intergration,integration
2150,interm,interim
2151,internation,international
2152,interpet,interpret
2153,interrim,interim
2154,interrugum,interregnum
2155,intertaining,entertaining
2156,interupt,interrupt
2157,intervines,intervenes
2158,intevene,intervene
2159,intial,initial
2160,intially,initially
2161,intrduced,introduced
2162,intrest,interest
2163,introdued,introduced
2164,intruduced,introduced
2165,intrument,instrument
2166,intrumental,instrumental
2167,intruments,instruments
2168,intrusted,entrusted
2169,intutive,intuitive
2170,intutively,intuitively
2171,inudstry,industry
2172,inumerable,"enumerable, innumerable"
2173,inventer,inventor
2174,invertibrates,invertebrates
2175,investingate,investigate
2176,involvment,involvement
2177,irelevent,irrelevant
2178,iresistable,irresistible
2179,iresistably,irresistibly
2180,iresistible,irresistible
2181,iresistibly,irresistibly
2182,iritable,irritable
2183,iritated,irritated
2184,ironicly,ironically
2185,irregardless,regardless
2186,irrelevent,irrelevant
2187,irreplacable,irreplaceable
2188,irresistable,irresistible
2189,irresistably,irresistibly
2190,isnt,isn't
2191,Israelies,Israelis
2192,issueing,issuing
2193,itnroduced,introduced
2194,iunior,junior
2195,iwll,will
2196,iwth,with
2197,Janurary,January
2198,Januray,January
2199,Japanes,Japanese
2200,jaques,jacques
2201,jeapardy,jeopardy
2202,jewllery,jewellery
2203,Johanine,Johannine
2204,jorunal,journal
2205,Jospeh,Joseph
2206,jouney,journey
2207,journied,journeyed
2208,journies,journeys
2209,jstu,just
2210,jsut,just
2211,Juadaism,Judaism
2212,Juadism,Judaism
2213,judical,judicial
2214,judisuary,judiciary
2215,juducial,judicial
2216,juristiction,jurisdiction
2217,juristictions,jurisdictions
2218,kindergarden,kindergarten
2219,klenex,kleenex
2220,knifes,knives
2221,knive,knife
2222,knowlege,knowledge
2223,knowlegeable,knowledgeable
2224,knwo,know
2225,knwos,knows
2226,konw,know
2227,konws,knows
2228,kwno,know
2229,labatory,"lavatory, laboratory"
2230,labled,"labelled, labeled"
2231,labratory,laboratory
2232,laguage,language
2233,laguages,languages
2234,larg,large
2235,largst,largest
2236,larrry,larry
2237,lastr,last
2238,lattitude,latitude
2239,launchs,"launch, launches"
2240,launhed,launched
2241,lavae,larvae
2242,layed,laid
2243,lazyness,laziness
2244,leage,league
2245,leanr,"lean, learn, leaner"
2246,leathal,lethal
2247,lefted,left
2248,legitamate,legitimate
2249,legitmate,legitimate
2250,leibnitz,leibniz
2251,lenght,length
2252,leran,learn
2253,lerans,learns
2254,leutenant,lieutenant
2255,levetate,levitate
2256,levetated,levitated
2257,levetates,levitates
2258,levetating,levitating
2259,levle,level
2260,liasion,liaison
2261,liason,liaison
2262,liasons,liaisons
2263,libary,library
2264,libell,libel
2265,libguistic,linguistic
2266,libguistics,linguistics
2267,libitarianisn,libertarianism
2268,lible,"libel, liable"
2269,lieing,lying
2270,liek,like
2271,liekd,liked
2272,liesure,leisure
2273,lieuenant,lieutenant
2274,lieved,lived
2275,liftime,lifetime
2276,lightyear,light year
2277,lightyears,light years
2278,likelyhood,likelihood
2279,linnaena,linnaean
2280,lippizaner,lipizzaner
2281,liquify,liquefy
2282,liscense,"license, licence"
2283,lisence,"license, licence"
2284,lisense,"license, licence"
2285,listners,listeners
2286,litature,literature
2287,literaly,literally
2288,literture,literature
2289,littel,little
2290,litterally,literally
2291,liuke,like
2292,livley,lively
2293,lmits,limits
2294,loev,love
2295,lonelyness,loneliness
2296,longitudonal,longitudinal
2297,lonley,lonely
2298,lonly,"lonely, only"
2299,loosing,losing
2300,lotharingen,lothringen
2301,lsat,last
2302,lukid,likud
2303,lveo,love
2304,lvoe,love
2305,Lybia,Libya
2306,maching,"machine, marching, matching"
2307,mackeral,mackerel
2308,magasine,magazine
2309,magizine,magazine
2310,magisine,magazine
2311,magincian,magician
2312,magnificient,magnificent
2313,magolia,magnolia
2314,mailny,mainly
2315,maintainance,maintenance
2316,maintainence,maintenance
2317,maintance,maintenance
2318,maintenence,maintenance
2319,maintinaing,maintaining
2320,maintioned,mentioned
2321,majoroty,majority
2322,maked,"marked, made"
2323,makse,makes
2324,Malcom,Malcolm
2325,maltesian,Maltese
2326,mamal,mammal
2327,mamalian,mammalian
2328,managable,"manageable, manageably"
2329,managment,management
2330,maneouvre,manoeuvre
2331,maneouvred,manoeuvred
2332,maneouvres,manoeuvres
2333,maneouvring,manoeuvring
2334,manisfestations,manifestations
2335,manoeuverability,maneuverability
2336,manouver,"maneuver, manoeuvre"
2337,manouverability,"maneuverability, manoeuvrability, manoeuverability"
2338,manouverable,"maneuverable, manoeuvrable"
2339,manouvers,"maneuvers, manoeuvres"
2340,mantained,maintained
2341,manuever,"maneuver, manoeuvre"
2342,manuevers,"maneuvers, manoeuvres"
2343,manufacturedd,manufactured
2344,manufature,manufacture
2345,manufatured,manufactured
2346,manufaturing,manufacturing
2347,manuver,maneuver
2348,mariage,marriage
2349,marjority,majority
2350,markes,marks
2351,marketting,marketing
2352,marmelade,marmalade
2353,marrage,marriage
2354,marraige,marriage
2355,marrtyred,martyred
2356,marryied,married
2357,Massachussets,Massachusetts
2358,Massachussetts,Massachusetts
2359,massmedia,mass media
2360,masterbation,masturbation
2361,mataphysical,metaphysical
2362,materalists,materialist
2363,mathamatics,mathematics
2364,mathematican,mathematician
2365,mathematicas,mathematics
2366,matheticians,mathematicians
2367,mathmatically,mathematically
2368,mathmatician,mathematician
2369,mathmaticians,mathematicians
2370,mccarthyst,mccarthyist
2371,mchanics,mechanics
2372,meaninng,meaning
2373,mear,"wear, mere, mare"
2374,mechandise,merchandise
2375,medacine,medicine
2376,medeival,medieval
2377,medevial,medieval
2378,mediciney,mediciny
2379,medievel,medieval
2380,mediterainnean,mediterranean
2381,Mediteranean,Mediterranean
2382,meerkrat,meerkat
2383,melieux,milieux
2384,membranaphone,membranophone
2385,memeber,member
2386,menally,mentally
2387,meranda,"veranda, Miranda"
2388,mercentile,mercantile
2389,messanger,messenger
2390,messenging,messaging
2391,metalic,metallic
2392,metalurgic,metallurgic
2393,metalurgical,metallurgical
2394,metalurgy,metallurgy
2395,metamorphysis,metamorphosis
2396,metaphoricial,metaphorical
2397,meterologist,meteorologist
2398,meterology,meteorology
2399,methaphor,metaphor
2400,methaphors,metaphors
2401,Michagan,Michigan
